league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions,home_possession,home_formation,home_opp_formation,away_possession,away_formation,away_opp_formation
3,2021,17798,2022-04-30 16:30:00,120,135,Hoffenheim,Freiburg,FRE,HOF,3,1.448,4,2.694,2.694,0.09375,16.375,6,0,1.3076,3,2.60025,2.60025,-0.09375,9.842105263157896,12,0.58,04/03/2003,03/04/2003,0.42,03/04/2003,04/03/2003
3,2021,17800,2022-05-02 18:30:00,130,136,Borussia Monchengladbach,RB Leipzig,RBL,BMG,0,1.0879,1,1.22604,1.22604,-0.3442499999999999,9.86842105263158,11,3,1.6324,3,1.57029,1.57029,0.3442499999999999,16.105263157894736,5,0.49,05/03/2002,03/04/2003,0.51,03/04/2003,05/03/2002
3,2021,17802,2022-05-02 18:30:00,119,132,Bayer Leverkusen,Eintracht Frankfurt,EIN,LEV,0,0.1934,0,0.349041,0.349041,-1.826399,15.392857142857142,3,3,2.6969000000000003,2,2.17544,2.17544,1.826399,21.466666666666665,7,0.55,4-2-3-1,03/04/2003,0.45,03/04/2003,4-2-3-1
3,2021,17805,2022-05-06 18:30:00,268,262,Bochum,Arminia Bielefeld,ARM,BOC,0,0.3049,1,0.845303,0.845303,-1.843637,33.0,6,3,2.5693,2,2.68894,2.68894,1.843637,9.473684210526317,10,0.62,04/03/2003,04/04/2002,0.38,04/04/2002,04/03/2003
3,2021,17804,2022-05-07 13:30:00,267,129,Greuther Furth,Borussia Dortmund,DOR,GRE,3,1.1987,3,1.12743,1.12743,-0.09904,15.470588235294118,5,0,1.4774,1,1.22647,1.22647,0.09904,15.708333333333334,3,0.42,3-1-4-2,03/04/2003,0.58,03/04/2003,3-1-4-2
3,2021,17806,2022-05-07 13:30:00,134,131,Koln,Wolfsburg,WOL,COL,3,1.563,1,1.14328,1.14328,0.167791,16.666666666666668,3,0,1.1343,0,0.975489,0.975489,-0.167791,9.2,16,0.6,04/04/2002,04/04/2002,0.4,04/04/2002,04/04/2002
3,2021,17808,2022-05-07 13:30:00,120,119,Hoffenheim,Bayer Leverkusen,LEV,HOF,3,2.5581,4,3.9336,3.9336,1.84154,10.7,15,0,0.3114,2,2.09206,2.09206,-1.84154,9.724137931034482,7,0.46,04/03/2003,4-2-3-1,0.54,4-2-3-1,04/03/2003
3,2021,17809,2022-05-07 13:30:00,135,240,Freiburg,Union Berlin,UNI,FRE,3,1.9471,4,2.40109,2.40109,0.7525,19.125,2,0,0.8167,1,1.64859,1.64859,-0.7525,7.416666666666667,8,0.71,4-4-1-1,03/05/2002,0.29,03/05/2002,4-4-1-1
3,2021,17807,2022-05-07 16:30:00,122,125,Hertha Berlin,Mainz,MAI,HER,3,0.9212,2,0.756414,0.756414,0.402883,7.894736842105263,12,0,1.7564,1,1.11131,0.353531,-0.402883,12.266666666666667,4,0.35,4-2-3-1,03/05/2002,0.65,03/05/2002,4-2-3-1
3,2021,17810,2022-05-08 13:30:00,132,130,Eintracht Frankfurt,Borussia Monchengladbach,BMG,EIN,1,2.3091,1,2.02639,2.02639,1.2181640000000002,18.105263157894736,7,1,0.5007,1,0.808226,0.808226,-1.2181640000000002,21.157894736842103,3,0.47,03/05/2002,03/04/2003,0.53,03/04/2003,03/05/2002
